document_id,clean_text,label
doc_15,paper describes technical development accuracy assessment recent improved version soilgrids system resolution june update soilgrids provides global prediction standard numeric soil property organic carbon bulk density cation exchange capacity cec soil texture fraction coarse fragment seven standard depth addition prediction depth bedrock distribution soil class based world reference base wrb usda classification system raster layer total prediction based soil profile used training stack remote sensingbased soil covariates primarily derived modis land product srtm dem derivative climatic image global landform lithology map used fit ensemble machine learning methodsrandom forest gradient boosting andor multinomial logistic regressionas implemented package ranger xgboost nnet caret result fold crossvalidation show ensemble model explain coarse fragment variation overall average improvement relative accuracy considering amount variation explained comparison previous version soilgrids spatial resolution range improvement attributed use machine learning instead linear regression considerable investment preparing finer resolution covariate layer insertion additional soil profile development soilgrids could include refinement method incorporate input uncertainty derivation posterior probability distribution per pixel automation spatial modeling soil map generated potentially hundred soil variable another area future research development method multiscale merging soilgrids prediction local andor national gridded soil product spatial resolution increasingly accurate complete consistent global soil information produced soilgrids available open data base license,interpretability
doc_16,adversarial example malicious input designed fool machine learning model often transfer one model another allowing attacker mount black box attack without knowledge target model parameter adversarial training process explicitly training model adversarial example order make robust attack reduce test error clean input far adversarial training primarily applied small problem research apply adversarial training imagenet contribution include recommendation succesfully scale adversarial training large model datasets observation adversarial training confers robustness singlestep attack method finding multistep attack method somewhat less transferable singlestep attack method singlestep attack best mounting blackbox attack resolution label leaking effect cause adversarially trained model perform better adversarial example clean example adversarial example construction process us true label model learn exploit regularity construction process,applications
doc_17,consider problem classifying document topic overall sentiment determining whether review positive negative using movie review data find standard machine learning technique definitively outperform humanproduced baseline however three machine learning method employed naive bayes maximum entropy classification support vector machine perform well sentiment classification traditional topicbased categorization conclude examining factor make sentiment classification problem challenging,machine_learning
doc_18,experience world multimodal see object hear sound feel texture smell odor taste flavor modality refers way something happens experienced research problem characterized multimodal includes multiple modality order artificial intelligence make progress understanding world around need able interpret multimodal signal together multimodal machine learning aim build model process relate information multiple modality vibrant multidisciplinary field increasing importance extraordinary potential instead focusing specific multimodal application paper survey recent advance multimodal machine learning present common taxonomy beyond typical early late fusion categorization identify broader challenge faced multimodal machine learning namely representation translation alignment fusion colearning new taxonomy enable researcher better understand state field identify direction future research,machine_learning
doc_19,automated categorization classification text predefined category witnessed booming interest last year due increased availability document digital form ensuing need organize research community dominant approach problem based machine learning technique general inductive process automatically build classifier learning set preclassified document characteristic category advantage approach knowledge engineering approach consisting manual definition classifier domain expert good effectiveness considerable saving term expert labor power straightforward portability different domain survey discusses main approach text categorization fall within machine learning paradigm discus detail issue pertaining three different problem namely document representation classifier construction classifier evaluation,machine_learning
doc_20,recent year deep learning popular computational approach field machine learning achieving exceptional result variety complex cognitive task matching even surpassing human performance deep learning technology grew artificial neural network ann become big deal computing learn data ability learn enormous volume data one benefit deep learning past year field deep learning grown quickly used successfully wide range traditional field numerous discipline including cybersecurity natural language processing bioinformatics robotics control medical information processing deep learning outperformed wellknown machine learning approach order provide ideal starting point create comprehensive understanding deep learning also article aim provide detailed overview significant facet deep learning including current development field moreover paper discusses significance deep learning various deep learning technique network additionally provides overview realworld application area deep learning technique utilised conclude identifying possible characteristic future generation deep learning modelling providing research suggestion hand article intends provide comprehensive overview deep learning modelling serve resource academic industry people alike lastly provide additional issue recommended solution assist researcher comprehending existing research gap various approach deep learning architecture strategy application discussed work,privacy
doc_21,review discussed dilemma small data faced material machine learning first analyzed limitation brought small data workflow material machine learning introduced next method dealing small data introduced including data extraction publication material database construction highthroughput computation experiment data source level modeling algorithm small data imbalanced learning algorithm level active learning transfer learning machine learning strategy level finally future direction small data machine learning material science proposed,machine_learning
doc_22,today artificial intelligence still face two major challenge one industry data exists form isolated island strengthening data privacy security propose possible solution challenge secure federated learning beyond federatedlearning framework first proposed google introduce comprehensive secure federatedlearning framework includes horizontal federated learning vertical federated learning federated transfer learning provide definition architecture application federatedlearning framework provide comprehensive survey existing work subject addition propose building data network among organization based federated mechanism effective solution allowing knowledge shared without compromising user privacy,privacy
doc_23,paper propose novel neural network model called rnn encoder decoder consists two recurrent neural network rnn one rnn encodes sequence symbol fixedlength vector representation decodes representation another sequence symbol encoder decoder proposed model jointly trained maximize conditional probability target sequence given source sequence performance statistical machine translation system empirically found improve using conditional probability phrase pair computed rnn encoderdecoder additional feature existing loglinear model qualitatively show proposed model learns semantically syntactically meaningful representation linguistic phrase,machine_learning
doc_24,neural machine translation recently proposed approach machine translation unlike traditional statistical machine translation neural machine translation aim building single neural network jointly tuned maximize translation performance model proposed recently neural machine translation often belong family encoderdecoders consists encoder encodes source sentence fixedlength vector decoder generates translation paper conjecture use fixedlength vector bottleneck improving performance basic encoderdecoder architecture propose extend allowing model automatically softsearch part source sentence relevant predicting target word without form part hard segment explicitly new approach achieve translation performance comparable existing stateoftheart phrasebased system task englishtofrench translation furthermore qualitative analysis reveals softalignments found model agree well intuition,machine_learning
doc_25,significance accurate simulation fluid important many science engineering problem computationally demanding contrast machinelearning model approximate physic quickly cost accuracy show using machine learning inside traditional fluid simulation improve accuracy speed even example different training data approach open door applying machine learning largescale physical modeling task like airplane design climate prediction numerical simulation fluid play essential role modeling many physical phenomenon weather climate aerodynamics plasma physic fluid well described navierstokes equation solving equation scale remains daunting limited computational cost resolving smallest spatiotemporal feature lead unfavorable tradeoff accuracy tractability use endtoend deep learning improve approximation inside computational fluid dynamic modeling twodimensional turbulent flow direct numerical simulation turbulence largeeddy simulation result accurate baseline solver finer resolution spatial dimension resulting fold computational speedup method remains stable long simulation generalizes forcing function reynolds number outside flow trained contrast blackbox machinelearning approach approach exemplifies scientific computing leverage machine learning hardware accelerator improve simulation without sacrificing accuracy generalization,machine_learning
doc_26,field fluid mechanic rapidly advancing driven unprecedented volume data experiment field measurement largescale simulation multiple spatiotemporal scale machine learning offer wealth technique extract information data translated knowledge underlying fluid mechanic moreover algorithm augment domain knowledge automate task related flow control optimization article present overview past history current development emerging opportunity fluid mechanic outline fundamental methodology discus us understanding modeling optimizing controlling fluid flow strength limitation method addressed perspective scientific inquiry considers data inherent part modeling experiment simulation provides powerful informationprocessing framework augment possibly even transform current line fluid mechanic research industrial application,machine_learning
doc_27,decision tree classifier regarded standout wellknown method data classification representation classifier different researcher various field background considered problem extending decision tree available data machine study pattern recognition statistic various field medical disease analysis text classification user smartphone classification image many employment decision tree classifier proposed many way paper provides detailed approach decision tree furthermore paper specific algorithmsapproaches used datasets outcome achieved evaluated outlined comprehensively addition approach analyzed discussed illustrate theme author identify accurate classifier result us different type datasets discussed finding analyzed,applications
doc_28,federated learning also known collaborative learning machine learning technique train algorithm without transferring data sample across numerous decentralized edge device server strategy differs standard centralized machine learning technique local datasets uploaded single server well traditional decentralized alternative frequently presume local data sample uniformly distributed federated learning allows several actor collaborate development single robust machine learning model without sharing data allowing crucial issue data privacy data security data access right access heterogeneous data addressed defence telecommunication internet thing pharmaceutical industry sector application,privacy
doc_29,increasing number decision regarding daily life human being controlled artificial intelligence machine learning algorithm sphere ranging healthcare transportation education college admission recruitment provision loan many realm since touch many aspect life crucial develop algorithm accurate also objective fair recent study shown algorithmic decision making may inherently prone unfairness even intention article present overview main concept identifying measuring improving algorithmic fairness using algorithm focusing primarily classification task article begin discussing cause algorithmic bias unfairness common definition measure fairness fairnessenhancing mechanism reviewed divided preprocess inprocess postprocess mechanism comprehensive comparison mechanism conducted toward better understanding mechanism used different scenario article end reviewing several emerging research subfields algorithmic fairness beyond classification,interpretability
doc_30,today intelligent system offer artificial intelligence capability often rely machine learning machine learning describes capacity system learn problemspecific training data automate process analytical model building solve associated task deep learning machine learning concept based artificial neural network many application deep learning model outperform shallow machine learning model traditional data analysis approach article summarize fundamental machine learning deep learning generate broader understanding methodical underpinning current intelligent system particular provide conceptual distinction relevant term concept explain process automated analytical model building machine learning deep learning discus challenge arise implementing intelligent system field electronic market networked business naturally beyond technological aspect highlight issue humanmachine interaction artificial intelligence servitization,interpretability
doc_31,secure multiparty computation mpc allows party perform computation data keeping data private capability great potential machinelearning application facilitates training machinelearning model private data set owned different party evaluation one party private model using another party private data etc although range study implement machinelearning model via secure mpc implementation yet mainstream adoption secure mpc hampered absence flexible software framework thatspeak languageof machinelearning researcher engineer foster adoption secure mpc machine learning present crypten software framework expose popular secure mpc primitive via abstraction common modern machinelearning framework tensor computation automatic differentiation modular neural network paper describes design crypten measure performance stateoftheart model text classification speech recognition image classification benchmark show cryptens gpu support highperformance communication arbitrary number party allows perform efficient private evaluation modern machinelearning model semihonest threat model example two party using crypten securely predict phoneme speech recording using wavletter faster realtime hope crypten spur adoption secure mpc machinelearning community,applications
doc_32,educational data mining become effective tool exploring hidden relationship educational data predicting student academic achievement study proposes new model based machine learning algorithm predict final exam grade undergraduate student taking midterm exam grade source data performance random forest nearest neighbour support vector machine logistic regression nave bayes knearest neighbour algorithm among machine learning algorithm calculated compared predict final exam grade student dataset consisted academic achievement grade student took turkish languagei course state university turkey fall semester result show proposed model achieved classification accuracy prediction made using three type parameter midterm exam grade department data faculty data datadriven study important term establishing learning analysis framework higher education contributing decisionmaking process finally study present contribution early prediction student high risk failure determines effective machine learning method,machine_learning
doc_33,intersection machine learning quantum computing quantum machine learning potential accelerating data analysis especially quantum data application quantum material biochemistry highenergy physic nevertheless challenge remain regarding trainability quantum machine learning model review current method application quantum machine learning highlight difference quantum classical machine learning focus quantum neural network quantum deep learning finally discus opportunity quantum advantage quantum machine learning quantum machine learning become essential tool process analyze increased amount quantum data despite recent progress still many challenge addressed myriad future avenue research,machine_learning
doc_34,machine learning shown utility detecting pattern within large unstructured complex datasets one promising application machine learning precision medicine disease risk predicted using patient genetic data however creating accurate prediction model based genotype data remains challenging due socalled curse dimensionality extensively larger number feature compared number sample therefore generalizability machine learning model benefit feature selection aim extract informative feature remove noisy noninformative irrelevant redundant feature article provide general overview different feature selection method advantage disadvantage use case focusing detection relevant feature snp disease risk prediction,machine_learning
doc_35,researcher defining new type interaction human machine learning algorithm generically called humanintheloop machine learning depending control learning process identify active learning system remains control interactive machine learning closer interaction user learning system machine teaching human domain expert control learning process aside control human also involved learning process way curriculum learning human domain expert try impose structure example presented improve learning explainable focus ability model explain human given solution chosen collaboration model human limited learning process see term arise usable useful paper review state art technique involved new form relationship human algorithm contribution merely listing different approach provide definition clarifying confusing varied sometimes contradictory term elucidate determine boundary different method correlate technique searching connection influence,interpretability
doc_36,large scale benchmark molecular machine learning consisting multiple public datasets metric featurizations learning algorithm,machine_learning
doc_37,electrocatalysts photocatalysts key sustainable future generating clean fuel reducing impact global warming providing solution environmental pollution improved process catalyst design better understanding electrophotocatalytic process essential improving catalyst effectiveness recent advance data science artificial intelligence great potential accelerate electrocatalysis photocatalysis research particularly rapid exploration large material chemistry space machine learning comprehensive introduction critical review machine learning technique used electrocatalysis photocatalysis research provided source electrophotocatalyst data current approach representing material mathematical feature described commonly used machine learning method summarized quality utility electrophotocatalyst model evaluated illustration machine learning model applied novel electrophotocatalyst discovery used elucidate electrocatalytic photocatalytic reaction mechanism provided review offer guide material scientist selection machine learning method electrocatalysis photocatalysis research application machine learning catalysis science represents paradigm shift way advanced nextgeneration catalyst designed synthesized,machine_learning
doc_38,last year shapley value solution concept cooperative game theory found numerous application machine learning paper first discus fundamental concept cooperative game theory axiomatic property shapley value give overview important application shapley value machine learning feature selection explainability multiagent reinforcement learning ensemble pruning data valuation examine crucial limitation shapley value point direction future research,interpretability
doc_39,imbalancedlearn opensource python toolbox aiming providing wide range method cope problem imbalanced dataset frequently encountered machine learning pattern recognition implemented stateoftheart method categorized group undersampling oversampling iii combination undersampling ensemble learning method proposed toolbox depends numpy scipy scikitlearn distributed mit license furthermore fully compatible scikitlearn part scikitlearncontrib supported project documentation unit test well integration test provided ease usage contribution toolbox publicly available github http url,machine_learning
doc_40,interpretability machine learning crucial high stake decision troubleshooting work provide fundamental principle interpretable dispel common misunderstanding dilute importance crucial topic also identify technical challenge area interpretable machine learning provide history background problem problem classically important recent problem arisen last year problem optimizing sparse logical model decision tree optimization scoring system placing constraint generalized additive model encourage sparsity better interpretability modern casebased reasoning including neural network matching causal inference complete supervised disentanglement neural network complete even partial unsupervised disentanglement neural network dimensionality reduction data visualization machine learning model incorporate physic generative causal constraint characterization therashomon setof good model interpretable reinforcement learning survey suitable starting point statistician computer scientist interested working interpretable machine learning,interpretability
doc_41,brain tumor classification play important role clinical diagnosis effective treatment work propose method brain tumor classification using ensemble deep feature machine learning classifier proposed framework adopt concept transfer learning us several pretrained deep convolutional neural network extract deep feature brain magnetic resonance image extracted deep feature evaluated several machine learning classifier top three deep feature perform well several machine learning classifier selected concatenated ensemble deep feature fed several machine learning classifier predict final output evaluate different kind pretrained model deep feature extractor machine learning classifier effectiveness ensemble deep feature brain tumor classification use three different brain magnetic resonance imaging mri datasets openly accessible web experimental result demonstrate ensemble deep feature help improving performance significantly case support vector machine svm radial basis function rbf kernel outperforms machine learning classifier especially large datasets,applications
doc_42,fast reliable detection patient severe heterogeneous illness major goal precision medicine patient leukaemia identified using machine learning basis blood transcriptomes however increasing divide technically possible allowed privacy legislation facilitate integration medical data data owner worldwide without violating privacy law introduce swarm learninga decentralized machinelearning approach unites edge computing blockchainbased peertopeer networking coordination maintaining confidentiality without need central coordinator thereby going beyond federated learning illustrate feasibility using swarm learning develop disease classifier using distributed data chose four use case heterogeneous disease covid tuberculosis leukaemia lung pathology blood transcriptomes derived clinical study nonuniform distribution case control substantial study bias well chest xray image show swarm learning classifier outperform developed individual site addition swarm learning completely fulfils local confidentiality regulation design believe approach notably accelerate introduction precision medicine swarm learning decentralized machine learning approach outperforms classifier developed individual site covid disease preserving confidentiality privacy,privacy
doc_43,significance breakthrough machine learning artificial intelligence changing society fundamental understanding lagged behind traditionally believed fitting model training data exactly avoided lead poor performance unseen data however powerful modern classifier frequently nearperfect fit training disconnect spurred recent intensive research controversy whether theory provides practical insight work show classical theory modern practice reconciled within single unified performance curve propose mechanism underlying emergence believe previously unknown pattern connecting structure performance learning architecture help shape design understanding learning algorithm breakthrough machine learning rapidly changing science society yet fundamental understanding technology lagged far behind indeed one central tenet field biasvariance tradeoff appears odds observed behavior method used modern machinelearning practice biasvariance tradeoff implies model balance underfitting overfitting rich enough express underlying structure data simple enough avoid fitting spurious pattern however modern practice rich model neural network trained exactly fit interpolate data classically model would considered overfitted yet often obtain high accuracy test data apparent contradiction raised question mathematical foundation machine learning relevance practitioner paper reconcile classical understanding modern practice within unified performance curve doubledescent curve subsumes textbook ushaped biasvariance tradeoff curve showing increasing model capacity beyond point interpolation result improved performance provide evidence existence ubiquity double descent wide spectrum model datasets posit mechanism emergence connection performance structure machinelearning model delineates limit classical analysis implication theory practice machine learning,machine_learning
doc_44,notion uncertainty major importance machine learning constitutes key element machine learning methodology line statistical tradition uncertainty long perceived almost synonymous standard probability probabilistic prediction yet due steadily increasing relevance machine learning practical application related issue safety requirement new problem challenge recently identified machine learning scholar problem may call new methodological development particular includes importance distinguishing least two different type uncertainty often referred aleatoric epistemic paper provide introduction topic uncertainty machine learning well overview attempt far handling uncertainty general formalizing distinction particular,machine_learning
doc_45,perform comparative analysis machine learning method canonical problem empirical asset pricing measuring asset risk premium demonstrate large economic gain investor using machine learning forecast case doubling performance leading regressionbased strategy literature identify bestperforming method tree neural network trace predictive gain allowing nonlinear predictor interaction missed method method agree set dominant predictive signal set includes variation momentum liquidity volatility author furnished internet appendix available oxford university press web site next link final published paper online,machine_learning
doc_46,use quantum computing machine learning among exciting prospective application quantum technology however machine learning task data provided considerably different commonly studied computational task work show problem classically hard compute easily predicted classical machine learning data using rigorous prediction error bound foundation develop methodology assessing potential quantum advantage learning task bound tight asymptotically empirically predictive wide range learning model construction explain numerical result showing help data classical machine learning model competitive quantum model even tailored quantum problem propose projected quantum model provides simple rigorous quantum speedup learning problem faulttolerant regime nearterm implementation demonstrate significant prediction advantage classical model engineered data set designed demonstrate maximal quantum advantage one largest numerical test gatebased quantum machine learning date qubits expectation quantum machine learning high currently lack rigorous result scenario would actually exhibit quantum advantage author show tell given dataset whether quantum model would give prediction advantage classical one,interpretability
doc_47,federated learning rapidly growing research field machine learning domain although considerable research effort made existing library adequately support diverse algorithmic development diverse topology flexible message exchange inconsistent dataset model usage experiment make fair comparison difficult work introduce fedml open research library benchmark facilitates development new federated learning algorithm fair performance comparison fedml support three computing paradigm distributed training mobile ondevice training standalone simulation user conduct experiment different system environment fedml also promotes diverse algorithmic research flexible generic api design reference baseline implementation curated comprehensive benchmark dataset noniid setting aim making fair comparison believe fedml provide efficient reproducible mean developing evaluating algorithm federated learning research community maintain source code document user community http url,privacy
doc_48,machine learning technology used context affect citizen company well researcher need confident unexpected social implication bias towards gender ethnicity andor people disability significant literature approach mitigate bias promote fairness yet area complex hard penetrate newcomer domain article seek provide overview different school thought approach aim increase fairness machine learning organizes approach widely accepted framework preprocessing inprocessing postprocessing method subcategorizing method area although much literature emphasizes binary classification discussion fairness regression recommender system unsupervised learning also provided along selection currently available open source library article concludes summarizing open challenge articulated five dilemma fairness research,interpretability
doc_49,context science wellknown adage picture worth thousand word might well model worth thousand datasets scientific model newtonian physic biological gene regulatory network humandriven simplification complex phenomenon serve surrogate countless experiment validated model recently machine learning able overcome inaccuracy approximate modeling directly learning entire set nonlinear interaction data however without predetermined structure scientific basis behind problem machine learning approach flexible dataexpensive requiring large database homogeneous labeled training data central challenge reconciling data odds simplified model without requiring big data work demonstrate mathematical object denote universal differential equation udes utilized theoretical underpinning diverse array problem scientific machine learning yield efficient algorithm generalized approach ude model augments scientific model machinelearnable structure scientificallybased learning show udes utilized discover previously unknown governing equation accurately extrapolate beyond original data accelerate model simulation time dataefficient manner advance coupled opensource software allows training udes incorporate physical constraint delayed interaction implicitlydefined event intrinsic stochasticity model example show diverse set computationallydifficult modeling issue across scientific discipline automatically discovering biological mechanism accelerating training physicsinformed neural network largeeddy simulation transformed ude training problem efficiently solved single software methodology,machine_learning
doc_50,heart disease alternatively known cardiovascular disease encases various condition impact heart primary basis death worldwide span past decade associate many risk factor heart disease need time get accurate reliable sensible approach make early diagnosis achieve prompt management disease data mining commonly used technique processing enormous data healthcare domain researcher apply several data mining machine learning technique analyse huge complex medical data helping healthcare professional predict heart disease research paper present various attribute related heart disease model basis supervised learning algorithm nave bayes decision tree knearest neighbor random forest algorithm us existing dataset cleveland database uci repository heart disease patient dataset comprises instance attribute attribute attribute considered testing important substantiate performance different algorithm research paper aim envision probability developing heart disease patient result portray highest accuracy score achieved knearest neighbor,applications
doc_51,paper expanded invited talk aisec discus emerging field study adversarial machine learningthe study effective machine learning technique adversarial opponent paper give taxonomy classifying attack online machine learning algorithm discus applicationspecific factor limit adversary capability introduce two model modeling adversary capability explore limit adversary knowledge algorithm feature space training input data explore vulnerability machine learning algorithm discus countermeasure attack introduce evasion challenge discus privacypreserving learning technique,privacy
doc_52,machine learning system becoming increasingly ubiquitous systemss adoption expanding accelerating shift towards algorithmic society meaning algorithmically informed decision greater potential significant social impact however accurate decision support system remain complex black box meaning internal logic inner working hidden user even expert fully understand rationale behind prediction moreover new regulation highly regulated domain made audit verifiability decision mandatory increasing demand ability question understand trust machine learning system interpretability indispensable research community recognized interpretability problem focused developing interpretable model explanation method past year however emergence method show consensus assess explanation quality suitable metric assess quality explanation aim article provide review current state research field machine learning interpretability focusing societal impact developed method metric furthermore complete literature review presented order identify future direction work field,interpretability
doc_53,significance recent surge interpretability research led confusion numerous front particular unclear mean interpretable select evaluate even discus method producing interpretation machinelearning model aim clarify concern defining interpretable machine learning constructing unifying framework existing method highlight underappreciated role played human audience within framework method organized class model based post hoc provide guidance selecting evaluating interpretation method introduce desideratum predictive accuracy descriptive accuracy relevancy using framework review existing work grounded realworld study exemplify desideratum suggest direction future work machinelearning model demonstrated great success learning complex pattern enable make prediction unobserved data addition using model prediction ability interpret model learned receiving increasing amount attention however increased focus led considerable confusion notion interpretability particular unclear wide array proposed interpretation method related common concept used evaluate aim address concern defining interpretability context machine learning introducing predictive descriptive relevant pdr framework discussing interpretation pdr framework provides overarching desideratum evaluation predictive accuracy descriptive accuracy relevancy relevancy judged relative human audience moreover help manage deluge interpretation method introduce categorization existing technique modelbased post hoc category subgroup including sparsity modularity simulatability demonstrate practitioner use pdr framework evaluate understand interpretation provide numerous realworld example example highlight often underappreciated role played human audience discussion interpretability finally based framework discus limitation existing method direction future work hope work provide common vocabulary make easier practitioner researcher discus choose full range interpretation method,interpretability
doc_54,mxnet multilanguage machine learning library ease development algorithm especially deep neural network embedded host language blend declarative symbolic expression imperative tensor computation offer auto differentiation derive gradient mxnet computation memory efficient run various heterogeneous system ranging mobile device distributed gpu cluster paper describes api design system implementation mxnet explains embedding symbolic expression tensor operation handled unified fashion preliminary experiment reveal promising result large scale deep neural network application using multiple gpu machine,interpretability
doc_55,fuelled increasing computer power algorithmic advance machine learning technique become powerful tool finding pattern data quantum system produce atypical pattern classical system thought produce efficiently reasonable postulate quantum computer may outperform classical computer machine learning task field quantum machine learning explores devise implement quantum software could enable machine learning faster classical computer recent work produced quantum algorithm could act building block machine learning program hardware software challenge still considerable,machine_learning
